Index,Recipient Name,State/Territory,Type,Interim Report Status,Interim Report,Recovery Plan Status,Recovery Plan
 ,"County Of Nassau, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIV/5H31uqeD6HKxemjbChMn_qhapl0Dqs4Qera3Vn688a0,Submitted,https://home.treasury.gov/system/files/136/Nassau-County_2021-Recovery-Plan_SLT-1612.pdf
 ,"Oakland County, Michigan",Michigan,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIW/Va4CamIEWq.I9qNhBdrTi0pLypvQMESPraMH_s5S_zA,Submitted,https://home.treasury.gov/system/files/136/Oakland-County_2021-Recovery-Plan_SLT-2320.pdf
 ,"County Of Orange, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIX/qLUcWGLDuqLzFlgs8Mmmb76kt45JrTssLzZNfR.Y1Zk,Submitted,https://home.treasury.gov/system/files/136/Orange-County_2021-Recovery-Plan_SLT-0929.pdf
 ,"County Of Passaic, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eoPg/rxgUGO6ziOMS9WEjZDnXktnZ80jqNQSvsIq.NMPkTrw,Submitted,https://home.treasury.gov/system/files/136/Passaic-County_2021-Recovery-Plan_SLT-0903.pdf
 ,"County Of Plymouth, Massachusetts",Massachusetts,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIY/aRRp7Ncz7hcqFc9wfJTyUC6LrVeDiw5JM9Ii_orvZc8,Submitted,https://home.treasury.gov/system/files/136/Plymouth-County_2021-Recovery-Plan_SLT-8192.pdf
 ,"County Of Riverside, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emIZ/G.vpZgHnkOjAwU_x4E3CFIJynbrj0TxXrKBTy.vi9oQ,Submitted,https://home.treasury.gov/system/files/136/Riverside_2021-Recovery-Plan_SLT-3688.pdf
 ,"County Of San Bernardino, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emId/Hr_s5M7EuECUZ61N.QXAbgVmsJtW3g7WYLgZ5yhL6Is,Submitted,https://home.treasury.gov/system/files/136/San-Bernardino-County_2021-Recovery-Plan_SLT-0628.pdf
 ,"County Of San Mateo, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emSa/JpKzNPCyPiJxuXvDlonaaasQypT8h0ThxwygEttWpcg,Submitted,https://home.treasury.gov/system/files/136/San-Mateo-County_2021-Recovery-Plan_SLT-0579.pdf
 ,"Santa Clara County, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emSb/Ps7IBkfAiRllLTk5kAWTLOUavkQKIetLp1f4sjMqrJA,Submitted,https://home.treasury.gov/system/files/136/Santa-Clara_2021-Recovery-Plan_SLT-1563.pdf
 ,"County Of Sedgwick, Kansas",Kansas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emSc/KIn.7vsejzxZJcwR2_fMPc2VG2NOWlagKRFCH5Vw6Es,Submitted,https://home.treasury.gov/system/files/136/Sedgwick-County_2021-Recovery-Plan_SLT-0781.pdf
 ,"County Of Stanislaus, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emSd/aimn4AK5FXmEFgfiXztdaaR6RMr.LpG70EhCPn_OlDs,Submitted,https://home.treasury.gov/system/files/136/Stanislaus-County_2021-Recovery-Plan_SLT-1235.pdf
 ,"Union County, New Jersey",New Jersey,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eynW/Xzy4M_Zix2vfUCCe5xmp4Uk5gcldvQ1cQtDrLSongKg,Submitted,https://home.treasury.gov/system/files/136/Union-County_2021-Recovery-Plan_SLT-1461.pdf
 ,"Cuyahoga County, Ohio",Ohio,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eynX/OonOVHF3kUOIcu1mKO31AWgRtSgVobuxw_qFN33ESFs,Submitted,https://home.treasury.gov/system/files/136/Cuyahoga-County_2021-Recovery-Plan_SLT-2224.pdf
 ,"Dallas County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eoPh/Yc9OFqJd.l_4TaNHy6E.vKo6rhhkv.8fFQNw0Mm9.fo,Submitted,https://home.treasury.gov/system/files/136/Dallas_2021-Recovery-Plan_SLT-1204.pdf
 ,"Dekalb County, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emYr/yDCJcreHgTe2GYreRjhMtKUaNYOOj5LmfH0UIdgFLKE,Pending,
 ,"Denton County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emYq/JqjoQetm5eeEIr2T4RccdQt8d1Js..P_FYkEmPj0krw,Submitted,https://home.treasury.gov/system/files/136/Denton-County_2021-Recovery-Plan_SLT-0614.pdf
 ,Government Of Guam,Guam,Territorial Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001enAd/LrKAHwcZtijZPLJGmhFAQVsRQ42oNWhvmOxtOjo3koo,Not Available,
 ,"Douglas County, Nebraska",Nebraska,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emYs/r4fRBC9h1VVJjC2JCBmU0JDz9Z.8bZCCGbQ8a7oUtdg,Submitted,https://home.treasury.gov/system/files/136/Douglas-County_2021-Recovery-Plan_SLT-0820.pdf
 ,"Dupage, County Of",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emYt/Qk4W.URSDqUPnxE6piNuthc.zhPi4LpbbuBw9rJTw74,Submitted,https://home.treasury.gov/system/files/136/DuPage-County_2021-Recovery-Plan_SLT-0912.pdf
 ,"El Paso County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emel/3cm_DOuWczwr0HLq06BRC9ODNBkdGnN40u8oruM.X80,Submitted,https://home.treasury.gov/system/files/136/ElPaso-County_2021-Recovery-Plan_SLT-0617.pdf
 ,"El Paso County, Colorado",Colorado,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emem/l1kuPgaNDqTo15JlifLx7Kpv6wd5AVQnFuKWM0z0ojo,Submitted,https://home.treasury.gov/system/files/136/El-Paso_2021-Recovery-Plan_SLT-1508.pdf
 ,State of Hawaii,Hawaii,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eynu/NIiucpPJzZIwLcF1eXxQ0ulzxSgEUotZNywr6P2824E,Submitted,https://home.treasury.gov/system/files/136/Hawaii_2021-Recovery-Plan_SLT-0637.pdf
 ,"Fairfax County, Virginia",Virginia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emeo/NbGf4nXV58csOD19R0ccUUcN7XoJua19rqFePjqkIfg,Submitted,https://home.treasury.gov/system/files/136/Fairfax-County_2021-Recovery-Plan_SLT-0549.pdf
 ,"Fort Bend County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emep/uB8bLfUycG113LaDJoE6Rzdro7sIj2jNKQz2A3WjDeE,Submitted,https://home.treasury.gov/system/files/136/Fort-Bend-County_2021-Recovery-Plan_SLT-0630.pdf
